"replicate","mle_mu","mle_xi","mle_tau","postmed_mu","postmed_xi","postmed_tau","true_mu","true_xi","true_tau","diff_postmed_mle_mu","diff_postmed_mle_xi","diff_postmed_mle_tau","diff_postmed_true_mu","diff_postmed_true_xi","diff_postmed_true_tau","edist_postmed_mle","edist_postmed_true"
40,9.77255624935777,0.442534136963495,1.9449361965822,9.78672237806641,0.440466374420759,2.06398094262597,10,0.2,2,0.0141661287086414,-0.00206776254273594,0.119044746043767,-0.213277621933587,0.240466374420759,0.0639809426259683,0.119902487068234,0.327726993493087
41,10.0015999449805,0.309306266082155,2.1213181752418,9.97739453133467,0.299633397183814,2.19057338984522,10,0.2,2,-0.0242054136457952,-0.00967286889834107,0.0692552146034209,-0.0226054686653328,0.0996333971838137,0.190573389845218,0.0739983188474875,0.216231445365989
42,9.98233596634785,0.607148651544666,1.6643713005895,10.0500280345293,0.574216249602803,1.79935561322361,10,0.2,2,0.0676920681814543,-0.0329324019418632,0.134984312634112,0.0500280345293067,0.374216249602803,-0.200644386776386,0.154555892316168,0.427549734709922
43,10.1395619927545,0.285411345887693,1.88601338806162,10.1558665799406,0.28981505060803,1.96902978067018,10,0.2,2,0.0163045871861502,0.0044037047203378,0.0830163926085554,0.155866579940643,0.0898150506080305,-0.0309702193298207,0.084716902801699,0.182538457710842
44,10.7047801075837,0.339201973056059,2.55641076863179,10.7764631907153,0.334668788107621,2.71756669637948,10,0.2,2,0.0716830831315676,-0.00453318494843785,0.161155927747692,0.77646319071526,0.134668788107621,0.717566696379477,0.176437658172067,1.06580145091807
45,10.0609929178433,0.1724676519404,1.61045197366071,10.050993962696,0.179079230703605,1.66091774180224,10,0.2,2,-0.00999895514726745,0.00661157876320506,0.0504657681415264,0.0509939626960243,-0.0209207692963953,-0.33908225819776,0.0518698933090615,0.343532881459532
46,9.43996558053244,0.230443587199876,2.1054412424274,9.43998865968996,0.22625943166625,2.20005536552948,10,0.2,2,2.30791575202005e-05,-0.00418415553362653,0.0946141231020787,-0.560011340310041,0.0262594316662496,0.200055365529483,0.0947065994561752,0.595251550442683
47,9.66578887189478,0.354550510169977,1.75129294987811,9.66318216969749,0.343355039509761,1.82578710989184,10,0.2,2,-0.00260670219728354,-0.0111954706602151,0.0744941600137257,-0.336817830302508,0.143355039509761,-0.174212890108165,0.0753758139975923,0.405397396689191
48,10.3612962152192,-0.0132283614900639,1.87132309309762,10.3455485804619,-0.0105449933996636,1.93869896898336,10,0.2,2,-0.015747634757302,0.00268336809040026,0.0673758758857408,0.345548580461905,-0.210544993399664,-0.0613010310166406,0.0692437514590935,0.409256438078383
49,10.1297909289239,0.285877753049977,2.12930900365123,10.1337329768109,0.279798536755009,2.1964291649968,10,0.2,2,0.00394204788704933,-0.00607921629496805,0.0671201613455659,0.133732976810908,0.079798536755009,0.196429164996797,0.0675100931073243,0.25067256015824
